[      61ms] [LOG] Fetching stations… @ http://localhost:8083/map-check.local.html:79
[      77ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:8083/favicon.ico:0
[     117ms] [LOG] Got 90 stations. @ http://localhost:8083/map-check.local.html:79
[     727ms] [WARNING] Image "pedestrian_polygon" could not be loaded. Please make sure you have added the image with map.addImage() or a "sprite" property in your style. You can provide missing images by listening for the "styleimagemissing" map event. @ https://unpkg.com/maplibre-gl@4.7.1/dist/maplibre-gl.js:41
[    1149ms] [LOG]   ancol: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    1266ms] [LOG]   ancol: 2 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    1284ms] [LOG]   angke: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    1319ms] [LOG]   angke: 17 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    1338ms] [LOG]   batu_ceper: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    1375ms] [LOG]   batu_ceper: 2 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    1394ms] [LOG]   bekasi: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    1433ms] [LOG]   bekasi: 8 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    1452ms] [LOG]   bekasi_timur: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    1485ms] [LOG]   bekasi_timur: 5 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    1504ms] [LOG]   bogor: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    1550ms] [LOG]   bogor: 72 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    1573ms] [LOG]   bojong_indah: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    1600ms] [LOG]   bojong_indah: 3 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    1619ms] [LOG]   bojonggede: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    1652ms] [LOG]   bojonggede: 10 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    1677ms] [LOG]   buaran: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    1703ms] [LOG]   buaran: 8 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    1721ms] [LOG]   cakung: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    1744ms] [LOG]   cakung: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    1765ms] [LOG]   catang: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    1788ms] [LOG]   catang: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    1808ms] [LOG]   cawang: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    1843ms] [LOG]   cawang: 43 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    1870ms] [LOG]   cibinong: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    1902ms] [LOG]   cibinong: 4 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    1923ms] [LOG]   cibitung: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    1952ms] [LOG]   cibitung: 4 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    1974ms] [LOG]   cicayur: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    2004ms] [LOG]   cicayur: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    2024ms] [LOG]   cikarang: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    2054ms] [LOG]   cikarang: 5 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    2080ms] [LOG]   cikini: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    2122ms] [LOG]   cikini: 43 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    2146ms] [LOG]   cikoya: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    2172ms] [LOG]   cikoya: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    2194ms] [LOG]   cilebut: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    2222ms] [LOG]   cilebut: 4 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    2246ms] [LOG]   cilegon: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    2275ms] [LOG]   cilegon: 7 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    2303ms] [LOG]   cilejit: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    2325ms] [LOG]   cilejit: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    2354ms] [LOG]   cisauk: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    2385ms] [LOG]   cisauk: 6 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    2406ms] [LOG]   citayam: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    2436ms] [LOG]   citayam: 2 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    2457ms] [LOG]   citeras: isochrone rendered @ http://localhost:8083/map-check.local.html:79
